epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,11983.9,0.89492,0.6013,1.19106,0.95736,0.95193,0.96137,0.83152,0.55158,0.36901,0.92406,0.00287823,0.00287823,0.00287823
130,12078,0.87872,0.58823,1.18424,0.9601,0.94773,0.95544,0.84024,0.5437,0.36347,0.91881,0.0028075,0.0028075,0.0028075
131,12190.7,0.89917,0.59511,1.19468,0.97749,0.93343,0.95866,0.84341,0.54739,0.34475,0.92729,0.00273732,0.00273732,0.00273732
132,12284.9,0.89058,0.59978,1.18749,0.97392,0.94915,0.95501,0.82308,0.57105,0.36998,0.93203,0.00266769,0.00266769,0.00266769
133,12382.2,0.88176,0.58999,1.18744,0.97414,0.93718,0.96014,0.84105,0.53017,0.34646,0.91835,0.00259864,0.00259864,0.00259864
134,12449.6,0.89316,0.59952,1.19479,0.97462,0.95,0.9568,0.83124,0.56024,0.34276,0.93609,0.00253018,0.00253018,0.00253018
135,12552.1,0.87759,0.58645,1.18925,0.9762,0.94395,0.95832,0.83035,0.55348,0.35957,0.92724,0.00246234,0.00246234,0.00246234
136,12650.8,0.88986,0.60324,1.18875,0.97797,0.94411,0.95757,0.82775,0.58133,0.34695,0.94075,0.00239512,0.00239512,0.00239512
137,12747.9,0.88133,0.5912,1.1851,0.97644,0.94359,0.96418,0.84577,0.53862,0.33232,0.92415,0.00232855,0.00232855,0.00232855
138,12835.5,0.87645,0.59995,1.17685,0.958,0.92573,0.94736,0.84248,0.54498,0.3403,0.91839,0.00226263,0.00226263,0.00226263
139,12937,0.86938,0.58519,1.18294,0.96739,0.95226,0.95817,0.83689,0.55094,0.33718,0.9268,0.00219739,0.00219739,0.00219739
140,13022.8,0.87437,0.57997,1.17647,0.97057,0.94776,0.96271,0.83423,0.54328,0.34186,0.92373,0.00213285,0.00213285,0.00213285
141,13120.7,0.84677,0.5712,1.16256,0.96698,0.95,0.95874,0.83221,0.5561,0.35528,0.91739,0.00206901,0.00206901,0.00206901
142,13215.1,0.86976,0.58019,1.18307,0.98248,0.94903,0.96303,0.82563,0.57928,0.35514,0.93533,0.0020059,0.0020059,0.0020059
